663.32,246.13,0,2,80030011,100
663.32,301.26,0,2,80030031,100
663.32,356.38,0,2,80030051,100
663.32,410.22,0,2,80030071,100
663.32,465.35,0,2,80030091,100
663.32,520.47,0,2,80030111,100
663.32,574.31,0,2,80030131,100
663.32,628.16,0,2,80030151,100
663.32,682,0,2,80030171,100
663.32,737.12,0,2,80030191,100
663.32,790.96,0,2,80030211,100
663.32,846.09,0,2,80030231,100
663.32,899.93,0,2,80030251,100
663.32,955.05,0,2,80030271,100
663.32,1010.18,0,2,80030291,100
663.32,1064.02,0,2,80030311,100
663.32,1117.86,0,2,80030331,100
663.32,1171.7,0,2,80030351,100
663.32,1226.83,0,2,80030371,100
663.32,1281.95,0,2,80030391,100
663.32,1335.79,0,2,80030411,100
663.32,1389.63,0,2,80030431,100
663.32,1446.04,0,2,80030451,100
663.32,1499.88,0,2,80030471,100
663.32,1553.72,0,2,80030491,100
663.32,1607.57,0,2,80030511,100
663.32,1676.79,0,2,80030531,100
663.32,1731.91,0,2,80030551,100
663.32,1785.76,0,2,80030571,100
663.32,1840.88,0,2,80030591,100
663.32,1894.72,0,2,80030611,100
663.32,1949.85,0,2,80030631,100
663.32,2004.97,0,2,80030651,100
663.32,2058.81,0,2,80030671,100
663.32,2112.65,0,2,80030691,100
663.32,2166.5,0,2,80030711,100
663.32,2221.62,0,2,80030731,100
663.32,2275.46,0,2,80030751,100
663.32,2330.59,0,2,80030771,100
663.32,2384.43,0,2,80030791,100
663.32,2440.83,0,2,80030811,100
663.32,2494.68,0,2,80030831,100
663.32,2548.52,0,2,80030851,100
663.32,2602.36,0,2,80030871,100
663.32,2656.2,0,2,80030891,100
663.32,2711.32,0,2,80030911,100
663.32,2766.45,0,2,80030931,100
663.32,2820.29,0,2,80030951,100
663.32,2874.13,0,2,80030971,100
663.32,2930.54,0,2,80030991,100
663.32,2984.38,0,2,80031011,100
663.32,3038.22,0,2,80031031,100
663.32,3092.06,0,2,80031051,100
663.32,3145.91,0,2,80031071,100
663.32,3202.31,0,2,80031091,100
663.32,3256.15,0,2,80031111,100
663.32,3310,0,2,80031131,100
663.32,3365.12,0,2,80031151,100
663.32,3420.24,0,2,80031171,100
663.32,3474.09,0,2,80031191,100
663.32,3527.93,0,2,80031211,100
663.32,3581.77,0,2,80031231,100
663.32,3636.89,0,2,80031251,100
663.32,3692.02,0,2,80031271,100
663.32,3745.86,0,2,80031291,100
663.32,3800.98,0,2,80031311,100
663.32,3854.82,0,2,80031331,100
663.32,3909.95,0,2,80031351,100
663.32,3963.79,0,2,80031371,100
424.68,246.13,0,2,80030021,100
424.68,301.26,0,2,80030041,100
424.68,356.38,0,2,80030061,100
424.68,453.81,0,2,80030081,100
424.68,507.65,0,2,80030101,100
424.68,564.06,0,2,80030121,100
